State/UT/City,Overtaking Cases,Overtaking Injured,Overspeeding Cases,Driving Under Drug cases,Physical Fatigue of Drivers Cases,Defect in Mechanical Condition of Vehicle Cases,Animal Crossing Cases,Weather Condition (Total) Cases,Weather Condition (Poor Visibility) Cases,Weather Condition (Other Causes) Cases,Lack of Road Infrastructure Cases,Vehicles Parking at Road Shoulders Cases,Causes Not Known Cases,Total Road Accidents Cases
RAJKOT,0,0,346,0,0,0,0,0,0,0,0,0,0,363
RANCHI,0,0,84,99,0,0,0,0,0,0,0,0,0,183
SRINAGAR,0,0,331,0,0,0,0,0,0,0,0,0,0,331
SURAT,0,0,660,0,0,0,0,0,0,0,0,0,0,670
THIRUVANANTHAPURAM,465,465,833,26,0,12,19,25,24,1,2,56,0,1438
THRISSUR,220,287,1476,4,0,17,0,0,0,0,0,2,0,1719
TIRUCHIRAPPALLI,34,29,353,1,0,1,0,0,0,0,0,0,10,399
VADODARA,23,18,436,5,0,0,0,0,0,0,0,0,0,464
VARANASI,41,26,36,9,0,0,13,6,6,0,0,3,25,133
VASAI VIRAR,70,62,276,0,0,0,0,0,0,0,0,0,1,352
VIJAYAWADA,124,129,1101,3,0,0,0,0,0,0,0,0,0,1228
VISHAKHAPATNAM,31,26,1785,41,5,0,13,0,0,0,4,0,0,2339
